URL,Nº_Productos
https://www.sklum-demo.com/sofas,120
https://www.sklum-demo.com/sofas-chaise-longue,18
https://www.sklum-demo.com/sillones,64
https://www.sklum-demo.com/mesas-comedor,95
https://www.sklum-demo.com/mesas-auxiliares,12
https://www.sklum-demo.com/sillas-comedor,140
https://www.sklum-demo.com/lamparas-techo,80
https://www.sklum-demo.com/lamparas-mesa,9
https://www.sklum-demo.com/espejos-decorativos,55
https://www.sklum-demo.com/cabeceros-cama,30
https://www.sklum-demo.com/camas,70
https://www.sklum-demo.com/alfombras,45
https://www.sklum-demo.com/cortinas,15
https://www.sklum-demo.com/estanterias,38
https://www.sklum-demo.com/muebles-tv,22
