URL,Categoria_Principal,Categoria_Secundaria
https://www.sklum-demo.com/sofas,Muebles,Salon
https://www.sklum-demo.com/sofas-chaise-longue,Muebles,Salon
https://www.sklum-demo.com/sillones,Muebles,Salon
https://www.sklum-demo.com/mesas-comedor,Muebles,Comedor
https://www.sklum-demo.com/mesas-auxiliares,Muebles,Salon
https://www.sklum-demo.com/sillas-comedor,Muebles,Comedor
https://www.sklum-demo.com/lamparas-techo,Iluminacion,Techo
https://www.sklum-demo.com/lamparas-mesa,Iluminacion,Mesa
https://www.sklum-demo.com/espejos-decorativos,Decoracion,Espejos
https://www.sklum-demo.com/cabeceros-cama,Muebles,Dormitorio
https://www.sklum-demo.com/camas,Muebles,Dormitorio
https://www.sklum-demo.com/alfombras,Decoracion,Textil
https://www.sklum-demo.com/estanterias,Muebles,Almacenaje
